cgpa,easySolved,mediumSolved,hardSolved,contestRating,projectsCount,internshipsCount,certifications,branch,semester,communityActivityScore,placed,packageBand
6.92,246,102,17,1343.0,4,3,2,CIVIL,7,15,True,high
7.62,44,191,2,1216.0,1,0,2,CSE,6,19,False,none
8.24,199,159,26,1237.0,3,3,3,EEE,6,46,True,high
9.87,10,115,16,1234.0,0,3,4,ECE,6,96,True,high
7.99,162,12,15,1666.0,3,2,4,CSE,8,6,True,high
8.08,135,193,5,1440.0,1,2,0,ECE,8,22,True,high
7.72,235,123,6,1121.0,2,3,4,EEE,6,74,True,high
5.69,230,146,49,1337.0,5,3,2,CSE,7,32,True,high
7.77,220,151,13,1367.0,4,0,4,CSE,6,39,True,high
7.87,34,87,37,865.0,0,1,3,EEE,7,4,True,low
10.0,25,10,39,1351.0,4,1,3,CSE,7,44,True,high
7.59,191,186,14,1581.0,7,3,2,EEE,6,40,True,high
8.13,338,14,46,1366.0,6,2,2,MECH,6,7,True,high
7.76,138,9,46,1464.0,4,1,2,CSE,7,80,True,high
6.51,51,40,47,1521.0,4,3,4,ECE,8,81,True,high
9.06,345,154,32,1314.0,4,2,4,ECE,8,49,True,high
8.63,245,187,42,1583.0,1,0,1,EEE,7,90,True,high
8.67,43,72,26,1764.0,4,1,5,CSE,6,30,True,high
6.8,54,51,28,1019.0,5,0,5,ECE,6,3,True,mid
9.34,143,127,36,1314.0,4,2,0,CSE,8,65,True,high
6.26,30,27,4,1982.0,1,3,4,CSE,5,55,True,high
8.45,131,64,28,1443.0,7,0,1,ECE,7,4,True,high
10.0,79,16,31,1391.0,3,3,1,CSE,6,80,True,high
6.71,57,94,5,1335.0,1,1,3,CSE,6,53,True,mid
7.18,48,171,1,1719.0,6,0,4,CSE,6,95,True,high
7.91,296,137,5,1165.0,6,1,1,CSE,8,92,True,high
7.25,19,62,45,1632.0,5,1,3,CSE,5,79,True,high
6.09,39,174,42,1331.0,7,1,0,CSE,7,0,True,high
7.88,253,37,3,1213.0,5,1,3,CSE,8,75,True,high
6.63,283,69,28,1342.0,2,1,0,MECH,8,82,True,high
8.32,97,103,24,1388.0,1,2,5,CSE,6,72,True,high
6.79,253,52,8,1276.0,3,0,5,EEE,7,60,True,mid
9.5,338,171,2,1678.0,2,3,2,CSE,8,6,True,high
6.94,24,118,25,1214.0,2,3,2,EEE,6,29,True,high
7.45,13,73,47,1435.0,0,2,3,CSE,7,14,True,high
8.69,200,53,42,1534.0,4,3,2,IT,6,3,True,high
6.45,177,19,26,1432.0,2,3,4,MECH,5,62,True,high
8.05,18,78,35,1593.0,2,3,3,CSE,6,69,True,high
9.24,118,30,31,1292.0,5,0,1,CSE,7,37,True,high
6.03,146,134,0,1556.0,3,3,4,EEE,7,46,True,high
8.0,163,57,15,1563.0,2,0,3,IT,5,59,True,high
8.09,218,104,47,1642.0,7,3,5,ECE,8,98,True,high
8.66,281,9,10,929.0,6,3,0,ECE,6,1,True,high
6.44,152,9,25,1527.0,3,0,2,CSE,7,68,True,low
6.35,108,38,39,1625.0,4,2,2,CSE,8,7,True,mid
8.37,317,155,0,1297.0,6,3,2,CSE,6,50,True,high
8.13,78,157,25,1263.0,5,1,3,CSE,7,93,True,high
8.08,256,36,27,1225.0,7,1,4,CSE,7,18,True,high
8.18,270,118,8,1142.0,6,2,0,CSE,7,93,True,high
7.05,285,66,43,1566.0,0,1,2,EEE,6,30,True,high
8.06,88,42,21,1970.0,0,0,4,EEE,6,79,True,high
8.12,155,51,7,1261.0,4,3,1,CSE,7,21,True,high
7.01,120,100,48,1283.0,4,3,5,CIVIL,6,32,True,high
9.85,267,55,41,1404.0,6,3,1,CSE,6,85,True,high
8.32,102,75,26,1000.0,5,3,0,CSE,8,71,True,high
6.49,22,67,38,1226.0,7,1,2,EEE,6,36,True,high
8.52,269,136,18,1386.0,5,1,1,EEE,8,11,True,high
6.73,118,105,24,1177.0,7,1,5,CIVIL,6,68,True,high
8.67,339,124,37,1699.0,1,0,4,CSE,7,63,True,high
9.07,198,91,20,1077.0,2,1,4,CSE,8,24,True,high
6.9,104,22,23,1625.0,2,1,1,EEE,8,53,False,none
8.86,114,190,23,1767.0,7,3,2,CSE,6,28,True,high
8.25,17,108,18,1495.0,2,1,5,CSE,8,12,True,high
8.7,76,60,49,1366.0,3,2,0,ECE,6,25,True,high
9.89,200,167,46,1462.0,1,2,2,CSE,5,21,True,high
7.53,265,43,1,1290.0,6,3,3,CSE,7,92,True,high
6.97,18,151,13,891.0,2,1,1,CSE,8,75,True,mid
6.82,126,178,31,1155.0,3,2,3,CSE,8,91,True,high
6.9,276,185,41,1397.0,7,2,1,CSE,5,72,True,high
7.72,108,160,31,1165.0,7,0,0,ECE,7,9,True,high
8.18,307,15,27,1297.0,3,3,2,CSE,8,47,True,high
8.1,173,21,47,1520.0,0,2,5,CIVIL,6,41,True,high
8.71,150,56,38,1436.0,3,2,2,CSE,7,89,True,high
7.81,277,61,39,1665.0,4,3,1,CIVIL,6,99,True,high
9.4,46,106,41,1474.0,5,1,4,ECE,6,58,True,high
7.51,83,70,46,1488.0,3,3,3,CSE,7,52,True,high
10.0,82,89,39,1222.0,4,0,5,CSE,6,39,True,high
8.49,317,71,12,1067.0,4,0,5,CSE,6,74,True,high
6.86,208,69,11,1297.0,0,0,2,ECE,5,61,False,none
6.62,139,29,7,1218.0,6,2,2,CSE,7,5,False,none
8.33,255,102,14,1358.0,0,1,1,EEE,6,3,True,mid
7.55,321,150,25,1133.0,7,0,4,ECE,6,90,True,high
8.59,69,31,11,1611.0,7,3,3,EEE,7,54,True,high
8.32,288,85,42,1217.0,3,0,4,EEE,5,87,True,high
7.72,112,56,45,1309.0,0,2,5,CSE,8,68,True,high
6.87,305,108,26,1395.0,0,0,4,MECH,6,2,True,low
6.13,329,8,17,1681.0,6,1,1,MECH,6,6,True,mid
7.31,160,30,44,1840.0,5,0,4,IT,5,87,True,high
8.74,166,70,35,1857.0,2,1,3,CSE,5,85,True,high
8.04,215,136,48,1080.0,7,1,5,MECH,8,11,True,high
6.43,188,12,26,1307.0,3,3,0,CIVIL,6,98,True,high
7.99,206,185,8,1259.0,7,1,5,EEE,7,16,True,high
8.22,232,130,38,1493.0,6,2,0,ECE,5,66,True,high
6.83,98,34,0,1477.0,3,2,3,IT,7,74,True,high
7.97,296,20,6,1254.0,7,1,5,IT,8,69,True,high
7.86,285,63,25,1235.0,3,1,5,EEE,6,35,True,high
6.54,245,94,6,1151.0,0,0,5,CSE,7,16,False,none
8.19,192,179,6,800.0,5,0,5,MECH,8,85,True,high
8.42,218,33,7,1075.0,0,3,1,CSE,7,0,True,mid
8.99,139,120,15,1617.0,4,0,2,CSE,5,66,True,high
8.96,162,162,2,1766.0,1,2,5,IT,6,79,True,high
6.28,22,14,44,1737.0,1,0,1,MECH,5,98,True,mid
6.77,131,119,9,1627.0,6,3,3,IT,8,77,True,high
8.37,229,95,49,1147.0,1,3,5,ECE,7,48,True,high
8.37,115,5,6,1105.0,6,1,4,ECE,8,50,True,high
8.37,79,108,20,947.0,2,3,5,IT,5,70,True,high
10.0,204,96,36,1254.0,0,1,5,CSE,6,89,True,high
8.43,195,31,30,1422.0,7,2,0,MECH,5,42,True,high
9.05,108,179,22,1148.0,4,2,4,ECE,6,30,True,high
8.85,91,82,26,1508.0,4,0,5,CSE,5,23,True,high
8.52,84,155,21,1563.0,1,3,5,CSE,6,82,True,high
7.45,349,117,38,1281.0,5,2,5,CSE,8,36,True,high
8.63,201,191,26,1065.0,2,1,1,ECE,5,64,True,high
6.95,334,78,48,1745.0,6,3,3,CSE,6,88,True,high
7.54,223,77,3,1409.0,2,3,0,ECE,8,62,True,high
7.27,324,146,23,1885.0,1,1,5,EEE,8,55,True,high
7.89,327,106,22,1423.0,6,3,3,EEE,6,73,True,high
10.0,153,125,47,1441.0,6,3,0,CSE,8,17,True,high
5.75,225,14,18,1159.0,1,2,0,EEE,6,64,False,none
8.55,333,133,41,1294.0,7,1,0,CSE,6,28,True,high
6.03,24,72,2,1010.0,0,2,5,CSE,8,76,True,low
7.28,226,100,26,1064.0,5,1,1,CSE,7,3,True,high
9.0,44,97,2,1585.0,2,0,5,EEE,8,11,True,high
7.87,192,165,27,1329.0,4,3,5,CSE,8,55,True,high
6.61,279,25,16,1294.0,1,3,3,CSE,6,47,True,high
7.01,109,91,30,1215.0,0,2,2,CSE,7,18,True,mid
8.55,16,124,9,1304.0,4,3,2,IT,6,25,True,high
7.0,39,178,48,1683.0,7,3,2,IT,6,37,True,high
8.04,314,72,21,1436.0,2,2,3,CSE,5,79,True,high
7.85,153,122,29,1105.0,1,2,4,CSE,6,24,True,high
7.08,120,52,48,1658.0,6,1,3,IT,8,55,True,high
10.0,241,183,20,1831.0,7,0,0,CSE,8,73,True,high
8.5,188,186,35,1524.0,7,2,5,CSE,7,27,True,high
5.57,81,197,22,1623.0,5,1,4,CSE,6,60,True,high
8.01,219,77,37,1705.0,1,2,0,IT,7,91,True,high
7.07,229,91,11,986.0,7,1,5,EEE,7,88,True,high
8.74,89,185,24,1866.0,5,0,5,CSE,8,88,True,high
6.93,92,87,19,1675.0,0,1,0,CSE,5,50,True,high
7.67,51,12,48,1522.0,0,1,3,IT,6,11,True,mid
8.36,282,42,48,1369.0,7,3,2,ECE,8,7,True,high
8.75,200,75,41,1066.0,2,2,4,ECE,8,99,True,high
6.48,182,50,6,1317.0,5,1,5,CSE,6,57,True,high
7.43,16,18,28,1512.0,1,2,1,MECH,5,87,True,high
7.28,164,148,47,1124.0,0,1,5,CSE,8,22,False,none
7.08,19,121,28,1383.0,1,3,2,MECH,7,36,True,high
9.74,43,23,12,1104.0,2,3,5,CSE,7,10,True,high
8.25,45,25,2,1304.0,5,0,1,CSE,6,16,True,mid
6.41,15,172,1,1062.0,1,1,3,ECE,6,91,True,low
8.81,224,155,15,1036.0,4,3,5,MECH,5,55,True,high
10.0,143,119,29,1485.0,1,2,4,CSE,7,52,True,high
8.94,294,81,37,1255.0,3,1,3,CSE,5,66,True,high
6.13,135,99,5,1279.0,3,1,1,ECE,5,1,True,mid
7.27,346,156,44,1242.0,6,0,0,EEE,6,28,True,high
9.19,183,16,6,2081.0,2,2,5,EEE,6,56,True,high
7.02,161,67,4,1552.0,2,0,3,ECE,6,33,False,none
8.29,340,43,6,1579.0,2,1,5,CSE,5,77,True,high
8.65,35,60,33,1206.0,4,0,4,ECE,8,96,True,high
6.78,124,122,31,1526.0,5,1,5,CSE,5,81,True,high
7.73,293,92,48,1343.0,4,1,3,IT,6,92,True,high
5.5,84,195,12,1204.0,6,0,2,ECE,6,1,False,none
6.67,175,73,29,1882.0,1,0,3,ECE,8,74,True,high
7.52,198,152,24,1543.0,7,1,1,CSE,6,30,True,high
6.43,87,66,20,1531.0,0,0,3,CSE,5,76,True,low
9.6,99,110,20,1157.0,5,0,4,ECE,5,43,True,high
6.23,185,1,27,1082.0,3,1,3,CSE,7,89,False,none
7.32,30,88,47,1386.0,3,2,3,CIVIL,7,55,True,high
7.94,63,176,19,1257.0,6,0,4,ECE,6,97,True,high
9.39,193,197,33,1553.0,7,0,3,CSE,5,53,True,high
6.22,231,25,4,1570.0,3,3,4,CSE,6,52,True,high
9.08,324,199,17,1416.0,6,2,1,EEE,7,73,True,high
7.81,337,98,38,1607.0,1,0,4,CSE,7,75,True,high
6.72,188,26,42,1448.0,1,1,1,ECE,5,85,True,low
8.31,285,88,10,1182.0,2,3,1,ECE,7,45,True,high
8.02,121,145,16,1350.0,0,3,4,CSE,6,53,True,high
7.14,233,181,47,1434.0,2,3,3,EEE,7,30,True,high
7.88,223,0,44,1632.0,1,0,5,EEE,7,82,True,high
7.38,68,188,21,1456.0,4,1,2,IT,8,23,True,high
7.92,336,102,36,1257.0,2,3,5,ECE,6,24,True,high
8.53,118,130,19,1642.0,5,2,4,ECE,7,34,True,high
9.54,166,195,47,1495.0,1,3,3,CSE,6,56,True,high
6.44,200,40,47,1786.0,1,3,1,CSE,6,71,True,high
10.0,209,164,47,1422.0,7,2,0,CSE,5,68,True,high
5.65,321,50,45,1141.0,7,3,2,EEE,6,85,True,high
7.63,205,14,5,1694.0,4,3,5,CSE,5,27,True,high
8.45,44,7,33,1256.0,4,2,3,ECE,8,75,True,high
8.11,255,37,13,1474.0,4,0,2,CSE,7,32,True,high
7.12,246,113,47,1446.0,7,2,0,EEE,5,52,True,high
7.57,113,82,22,1411.0,0,0,0,ECE,5,15,False,none
7.26,16,55,19,1358.0,5,0,0,ECE,6,25,True,mid
7.15,292,174,12,987.0,1,0,5,IT,6,11,False,none
8.73,10,102,46,1149.0,4,2,4,EEE,6,86,True,high
8.19,228,137,43,1681.0,0,2,2,CSE,6,89,True,high
7.04,239,101,40,1507.0,3,0,4,ECE,8,76,True,high
8.79,181,77,31,1877.0,5,2,0,ECE,7,86,True,high
8.14,96,176,25,1141.0,6,0,3,MECH,7,30,True,high
8.69,50,168,49,1392.0,6,2,0,MECH,8,99,True,high
8.49,132,82,13,1691.0,7,1,4,CSE,5,26,True,high
6.89,340,29,35,1259.0,3,2,0,MECH,5,35,False,none
7.18,307,4,7,1279.0,3,2,0,CSE,6,58,True,mid
8.62,187,118,39,1327.0,1,2,4,MECH,7,86,True,high
8.47,72,198,21,1289.0,0,0,4,CSE,6,2,True,mid
7.78,174,30,21,1533.0,0,0,3,CSE,5,93,True,mid
7.93,196,179,15,955.0,3,1,4,CIVIL,8,31,True,high
9.21,218,22,26,1811.0,5,1,3,ECE,6,14,True,high
7.15,236,47,9,1160.0,2,3,1,IT,7,74,True,mid
8.4,57,108,24,871.0,3,1,1,CSE,8,65,True,mid
7.58,233,39,30,1397.0,1,0,4,ECE,6,89,True,high
7.56,12,5,20,1306.0,3,1,0,EEE,8,62,True,high
9.01,184,37,26,1356.0,5,1,2,CSE,7,97,True,high
8.71,108,168,16,1478.0,5,2,0,CSE,8,0,True,high
8.69,125,99,32,1561.0,3,1,4,CSE,6,74,True,high
9.24,279,26,30,1822.0,0,3,3,IT,8,4,True,high
7.82,262,68,49,1227.0,3,2,0,MECH,5,89,True,high
8.55,326,56,41,1594.0,4,0,1,CSE,7,5,True,high
7.46,104,16,25,1577.0,4,3,5,CSE,6,98,True,high
8.16,282,70,20,800.0,2,0,4,CSE,5,4,False,none
7.66,33,46,35,1192.0,1,3,0,ECE,5,72,True,mid
7.91,125,78,0,1078.0,7,2,5,IT,6,27,True,high
8.45,160,109,3,1512.0,1,3,0,EEE,6,82,True,high
6.9,347,12,3,1484.0,6,3,3,CSE,6,68,True,high
10.0,59,138,25,1489.0,0,1,3,ECE,6,86,True,high
6.69,215,123,3,1324.0,7,0,3,IT,6,43,True,high
6.46,344,108,48,1349.0,1,2,5,ECE,6,15,True,high
9.07,88,89,8,1393.0,2,3,2,IT,6,70,True,high
8.67,79,85,29,1300.0,4,0,5,CSE,8,77,True,high
8.49,36,91,44,1594.0,0,0,4,EEE,7,21,True,mid
8.49,280,23,3,1133.0,5,1,4,EEE,5,72,True,high
7.79,59,72,4,1205.0,4,0,1,EEE,7,22,True,mid
6.81,301,3,44,1430.0,2,2,1,ECE,7,42,True,mid
7.88,256,112,22,1308.0,0,1,4,CSE,5,67,True,high
7.06,273,45,15,1123.0,7,3,0,CSE,6,42,True,high
8.87,88,17,21,1533.0,3,2,4,IT,6,25,True,high
7.64,199,42,36,1257.0,1,2,2,CSE,8,40,True,mid
6.89,56,160,7,1189.0,2,2,1,IT,6,69,False,none
7.45,198,92,47,1356.0,0,1,1,EEE,7,30,True,mid
8.25,265,102,32,1177.0,4,0,5,ECE,6,16,True,high
7.18,231,123,37,1391.0,0,2,1,IT,7,8,True,mid
6.9,250,9,42,1310.0,3,0,4,MECH,6,90,True,high
8.07,278,72,15,1272.0,2,0,1,ECE,6,54,False,none
8.07,10,186,4,1273.0,0,2,1,CSE,6,5,True,mid
7.24,43,30,15,1649.0,5,0,5,CIVIL,8,69,True,high
7.28,88,155,6,1492.0,2,1,4,MECH,5,63,True,high
8.06,245,59,0,973.0,2,1,0,MECH,5,3,False,none
6.21,343,130,8,1621.0,4,3,1,EEE,7,66,True,high
6.25,107,117,17,1529.0,7,0,1,CSE,7,87,True,mid
7.01,91,182,44,1514.0,6,0,1,CIVIL,6,55,True,high
7.57,201,13,46,1622.0,1,3,2,CSE,6,17,True,high
8.14,262,185,2,1404.0,6,1,4,CSE,6,31,True,high
9.42,47,142,23,1555.0,7,3,1,CSE,6,84,True,high
8.74,23,1,27,1284.0,5,3,2,CSE,8,47,True,high
7.62,319,23,9,1612.0,3,3,0,ECE,5,28,True,high
7.78,218,63,8,1455.0,0,0,0,CSE,8,31,True,low
6.7,98,198,12,1056.0,6,0,5,CSE,6,24,True,high
7.78,65,99,47,1659.0,1,0,5,CSE,6,75,True,high
7.48,103,113,34,1368.0,7,0,5,EEE,7,62,True,high
8.15,102,23,22,1333.0,4,2,2,ECE,7,8,True,high
6.89,349,154,46,1289.0,1,3,0,ECE,5,70,True,high
8.37,94,164,16,1308.0,2,3,5,MECH,7,13,True,high
9.49,254,90,45,1457.0,2,0,3,ECE,7,19,True,high
7.68,31,166,6,1153.0,3,1,5,CSE,5,83,True,high
8.24,300,190,15,1008.0,5,2,0,IT,5,9,True,high
8.56,281,25,39,1134.0,0,2,3,CSE,6,10,True,high
7.36,315,64,35,1495.0,0,1,2,CSE,7,38,True,high
8.05,131,119,19,1360.0,4,0,3,EEE,6,18,True,high
7.81,137,3,23,1678.0,3,2,0,MECH,7,18,True,high
7.91,122,156,46,1384.0,0,2,1,MECH,7,42,True,high
6.95,282,0,4,1611.0,5,3,3,CSE,7,60,True,high
7.83,345,49,44,1227.0,7,3,0,EEE,7,69,True,high
8.35,139,109,5,1291.0,2,0,5,EEE,6,71,True,high
9.4,141,138,27,1402.0,7,0,1,CSE,8,64,True,high
8.86,94,73,4,1363.0,7,3,2,CSE,7,22,True,high
10.0,90,186,48,1340.0,3,3,2,EEE,6,59,True,high
6.96,334,61,38,1182.0,1,3,4,CSE,7,9,True,high
8.76,78,80,37,1004.0,6,1,2,CSE,7,62,True,high
8.0,157,163,1,1558.0,6,2,4,CSE,6,1,True,high
10.0,25,55,42,1530.0,3,0,2,CSE,6,35,True,high
6.91,316,110,38,1247.0,7,0,2,CSE,6,56,True,high
6.88,114,20,20,1495.0,3,1,2,CSE,8,65,True,mid
7.14,174,140,39,1358.0,5,3,4,CSE,7,78,True,high
5.5,210,8,36,1677.0,5,2,5,IT,5,19,True,high
7.22,206,138,17,1072.0,0,3,4,CSE,7,41,True,high
6.96,194,69,47,1368.0,6,0,3,ECE,5,20,True,high
7.97,331,128,45,1348.0,4,1,0,IT,6,93,True,high
8.18,274,117,11,1440.0,4,2,0,CIVIL,6,87,True,high
9.86,109,197,16,1784.0,7,2,5,CSE,7,65,True,high
8.85,329,55,36,1369.0,5,2,0,CSE,8,37,True,high
7.17,223,30,45,1586.0,0,2,2,ECE,8,85,True,high
6.81,287,36,37,1363.0,0,1,5,IT,5,92,True,high
8.34,171,174,14,1668.0,0,0,0,CSE,7,77,True,high
6.35,166,90,6,1588.0,7,2,4,CSE,8,68,True,high
9.81,260,113,13,1317.0,7,2,3,MECH,6,23,True,high
9.1,106,127,49,1299.0,5,0,1,ECE,7,25,True,high
7.28,27,174,0,1522.0,4,3,3,EEE,8,1,True,high
5.92,336,121,37,1236.0,0,2,0,EEE,7,45,True,high
9.29,106,68,2,1448.0,5,2,5,CSE,6,33,True,high
7.67,10,185,36,1311.0,1,3,0,ECE,8,61,True,high
9.16,225,35,43,1492.0,1,0,4,ECE,8,86,True,high
6.05,141,31,30,1360.0,2,0,3,EEE,7,40,True,low
7.14,269,63,42,1227.0,1,2,4,MECH,6,98,True,high
7.81,134,198,12,1676.0,3,0,4,MECH,7,14,True,high
7.85,91,169,47,1460.0,2,3,1,CSE,6,54,True,high
7.3,292,47,17,1387.0,1,1,4,EEE,6,2,True,mid
8.49,180,80,16,1505.0,3,3,4,ECE,7,75,True,high
6.63,68,157,16,982.0,1,3,1,ECE,8,37,True,mid
7.64,41,148,10,1923.0,5,1,2,CSE,8,50,True,high
7.93,170,59,19,1406.0,6,3,2,EEE,7,16,True,high
8.37,293,140,9,909.0,3,2,5,EEE,6,90,True,high
8.58,115,0,28,1699.0,0,2,1,ECE,6,82,True,high
6.56,114,64,47,1212.0,5,0,5,CIVIL,8,48,True,high
6.11,237,32,33,1661.0,6,0,5,CSE,7,20,True,high
9.21,197,37,16,1430.0,3,3,4,CSE,8,87,True,high
8.17,79,24,41,1007.0,5,2,5,ECE,6,23,True,high
6.98,327,153,12,1465.0,0,2,0,IT,7,82,True,high
9.51,299,58,43,1447.0,3,1,3,CSE,8,94,True,high
7.93,96,160,46,1688.0,3,0,0,CSE,6,39,True,high
9.1,65,100,38,1531.0,6,2,0,IT,5,19,True,high
